"","Year","County.of.Study","County.of.Origin","value"
"211","2000","Carlow","Carlow",336
"212","2001","Carlow","Carlow",420
"213","2002","Carlow","Carlow",434
"214","2003","Carlow","Carlow",353
"215","2004","Carlow","Carlow",411
"216","2005","Carlow","Carlow",416
"217","2006","Carlow","Carlow",523
"218","2007","Carlow","Carlow",573
"219","2008","Carlow","Carlow",654
"220","2009","Carlow","Carlow",689
"221","2010","Carlow","Carlow",747
"222","2011","Carlow","Carlow",743
"223","2012","Carlow","Carlow",648
"224","2013","Carlow","Carlow",650
"225","2000","Dublin","Carlow",581
"226","2001","Dublin","Carlow",604
"227","2002","Dublin","Carlow",602
"228","2003","Dublin","Carlow",599
"229","2004","Dublin","Carlow",597
"230","2005","Dublin","Carlow",707
"231","2006","Dublin","Carlow",596
"232","2007","Dublin","Carlow",567
"233","2008","Dublin","Carlow",566
"234","2009","Dublin","Carlow",586
"235","2010","Dublin","Carlow",672
"236","2011","Dublin","Carlow",714
"237","2012","Dublin","Carlow",724
"238","2013","Dublin","Carlow",703
"239","2000","Kildare","Carlow",75
"240","2001","Kildare","Carlow",82
"241","2002","Kildare","Carlow",98
"242","2003","Kildare","Carlow",106
"243","2004","Kildare","Carlow",109
"244","2005","Kildare","Carlow",111
"245","2006","Kildare","Carlow",110
"246","2007","Kildare","Carlow",105
"247","2008","Kildare","Carlow",84
"248","2009","Kildare","Carlow",82
"249","2010","Kildare","Carlow",108
"250","2011","Kildare","Carlow",124
"251","2012","Kildare","Carlow",125
"252","2013","Kildare","Carlow",124
"253","2000","Louth","Carlow",6
"254","2001","Louth","Carlow",6
"255","2002","Louth","Carlow",8
"256","2003","Louth","Carlow",11
"257","2004","Louth","Carlow",11
"258","2005","Louth","Carlow",6
"259","2006","Louth","Carlow",7
"260","2007","Louth","Carlow",6
"261","2008","Louth","Carlow",7
"262","2009","Louth","Carlow",8
"263","2010","Louth","Carlow",11
"264","2011","Louth","Carlow",11
"265","2012","Louth","Carlow",10
"266","2013","Louth","Carlow",12
"267","2000","Westmeath","Carlow",8
"268","2001","Westmeath","Carlow",14
"269","2002","Westmeath","Carlow",8
"270","2003","Westmeath","Carlow",4
"271","2004","Westmeath","Carlow",5
"272","2005","Westmeath","Carlow",5
"273","2006","Westmeath","Carlow",6
"274","2007","Westmeath","Carlow",11
"275","2008","Westmeath","Carlow",5
"276","2009","Westmeath","Carlow",8
"277","2010","Westmeath","Carlow",8
"278","2011","Westmeath","Carlow",13
"279","2012","Westmeath","Carlow",13
"280","2013","Westmeath","Carlow",15
"281","2000","Cork","Carlow",40
"282","2001","Cork","Carlow",34
"283","2002","Cork","Carlow",32
"284","2003","Cork","Carlow",41
"285","2004","Cork","Carlow",49
"286","2005","Cork","Carlow",44
"287","2006","Cork","Carlow",40
"288","2007","Cork","Carlow",39
"289","2008","Cork","Carlow",39
"290","2009","Cork","Carlow",39
"291","2010","Cork","Carlow",42
"292","2011","Cork","Carlow",51
"293","2012","Cork","Carlow",62
"294","2013","Cork","Carlow",64
"295","2000","Kerry","Carlow",16
"296","2001","Kerry","Carlow",12
"297","2002","Kerry","Carlow",11
"298","2003","Kerry","Carlow",5
"299","2004","Kerry","Carlow",8
"300","2005","Kerry","Carlow",8
"301","2006","Kerry","Carlow",7
"302","2007","Kerry","Carlow",5
"303","2008","Kerry","Carlow",3
"304","2009","Kerry","Carlow",7
"305","2010","Kerry","Carlow",7
"306","2011","Kerry","Carlow",6
"307","2012","Kerry","Carlow",7
"308","2013","Kerry","Carlow",11
"309","2000","Limerick","Carlow",56
"310","2001","Limerick","Carlow",48
"311","2002","Limerick","Carlow",44
"312","2003","Limerick","Carlow",40
"313","2004","Limerick","Carlow",40
"314","2005","Limerick","Carlow",52
"315","2006","Limerick","Carlow",60
"316","2007","Limerick","Carlow",68
"317","2008","Limerick","Carlow",78
"318","2009","Limerick","Carlow",70
"319","2010","Limerick","Carlow",69
"320","2011","Limerick","Carlow",62
"321","2012","Limerick","Carlow",73
"322","2013","Limerick","Carlow",83
"323","2000","Tipperary","Carlow",0
"324","2001","Tipperary","Carlow",0
"325","2002","Tipperary","Carlow",1
"326","2003","Tipperary","Carlow",2
"327","2004","Tipperary","Carlow",2
"328","2005","Tipperary","Carlow",1
"329","2006","Tipperary","Carlow",1
"330","2007","Tipperary","Carlow",1
"331","2008","Tipperary","Carlow",0
"332","2009","Tipperary","Carlow",0
"333","2010","Tipperary","Carlow",3
"334","2011","Tipperary","Carlow",3
"335","2012","Tipperary","Carlow",0
"336","2013","Tipperary","Carlow",0
"337","2000","Waterford","Carlow",122
"338","2001","Waterford","Carlow",149
"339","2002","Waterford","Carlow",241
"340","2003","Waterford","Carlow",186
"341","2004","Waterford","Carlow",174
"342","2005","Waterford","Carlow",162
"343","2006","Waterford","Carlow",196
"344","2007","Waterford","Carlow",208
"345","2008","Waterford","Carlow",204
"346","2009","Waterford","Carlow",220
"347","2010","Waterford","Carlow",191
"348","2011","Waterford","Carlow",191
"349","2012","Waterford","Carlow",181
"350","2013","Waterford","Carlow",136
"351","2000","Galway","Carlow",41
"352","2001","Galway","Carlow",41
"353","2002","Galway","Carlow",36
"354","2003","Galway","Carlow",54
"355","2004","Galway","Carlow",58
"356","2005","Galway","Carlow",63
"357","2006","Galway","Carlow",67
"358","2007","Galway","Carlow",65
"359","2008","Galway","Carlow",69
"360","2009","Galway","Carlow",62
"361","2010","Galway","Carlow",74
"362","2011","Galway","Carlow",72
"363","2012","Galway","Carlow",68
"364","2013","Galway","Carlow",65
"365","2000","Sligo","Carlow",15
"366","2001","Sligo","Carlow",13
"367","2002","Sligo","Carlow",6
"368","2003","Sligo","Carlow",6
"369","2004","Sligo","Carlow",10
"370","2005","Sligo","Carlow",8
"371","2006","Sligo","Carlow",8
"372","2007","Sligo","Carlow",8
"373","2008","Sligo","Carlow",11
"374","2009","Sligo","Carlow",10
"375","2010","Sligo","Carlow",2
"376","2011","Sligo","Carlow",6
"377","2012","Sligo","Carlow",8
"378","2013","Sligo","Carlow",9
"379","2000","Donegal","Carlow",4
"380","2001","Donegal","Carlow",3
"381","2002","Donegal","Carlow",1
"382","2003","Donegal","Carlow",2
"383","2004","Donegal","Carlow",0
"384","2005","Donegal","Carlow",2
"385","2006","Donegal","Carlow",1
"386","2007","Donegal","Carlow",1
"387","2008","Donegal","Carlow",0
"388","2009","Donegal","Carlow",2
"389","2010","Donegal","Carlow",0
"390","2011","Donegal","Carlow",1
"391","2012","Donegal","Carlow",4
"392","2013","Donegal","Carlow",1
"407","2000","Carlow","Dublin",217
"408","2001","Carlow","Dublin",184
"409","2002","Carlow","Dublin",182
"410","2003","Carlow","Dublin",156
"411","2004","Carlow","Dublin",151
"412","2005","Carlow","Dublin",134
"413","2006","Carlow","Dublin",135
"414","2007","Carlow","Dublin",146
"415","2008","Carlow","Dublin",143
"416","2009","Carlow","Dublin",133
"417","2010","Carlow","Dublin",144
"418","2011","Carlow","Dublin",150
"419","2012","Carlow","Dublin",137
"420","2013","Carlow","Dublin",123
"421","2000","Dublin","Dublin",21747
"422","2001","Dublin","Dublin",22957
"423","2002","Dublin","Dublin",23572
"424","2003","Dublin","Dublin",25058
"425","2004","Dublin","Dublin",25314
"426","2005","Dublin","Dublin",24856
"427","2006","Dublin","Dublin",25819
"428","2007","Dublin","Dublin",26370
"429","2008","Dublin","Dublin",25967
"430","2009","Dublin","Dublin",28241
"431","2010","Dublin","Dublin",29827
"432","2011","Dublin","Dublin",30583
"433","2012","Dublin","Dublin",32877
"434","2013","Dublin","Dublin",33070
"435","2000","Kildare","Dublin",1189
"436","2001","Kildare","Dublin",1180
"437","2002","Kildare","Dublin",1251
"438","2003","Kildare","Dublin",1288
"439","2004","Kildare","Dublin",1351
"440","2005","Kildare","Dublin",1381
"441","2006","Kildare","Dublin",1505
"442","2007","Kildare","Dublin",1575
"443","2008","Kildare","Dublin",1724
"444","2009","Kildare","Dublin",1850
"445","2010","Kildare","Dublin",1948
"446","2011","Kildare","Dublin",2088
"447","2012","Kildare","Dublin",2155
"448","2013","Kildare","Dublin",2062
"449","2000","Louth","Dublin",429
"450","2001","Louth","Dublin",320
"451","2002","Louth","Dublin",339
"452","2003","Louth","Dublin",274
"453","2004","Louth","Dublin",296
"454","2005","Louth","Dublin",296
"455","2006","Louth","Dublin",300
"456","2007","Louth","Dublin",321
"457","2008","Louth","Dublin",350
"458","2009","Louth","Dublin",373
"459","2010","Louth","Dublin",397
"460","2011","Louth","Dublin",469
"461","2012","Louth","Dublin",441
"462","2013","Louth","Dublin",444
"463","2000","Westmeath","Dublin",123
"464","2001","Westmeath","Dublin",121
"465","2002","Westmeath","Dublin",87
"466","2003","Westmeath","Dublin",70
"467","2004","Westmeath","Dublin",62
"468","2005","Westmeath","Dublin",61
"469","2006","Westmeath","Dublin",62
"470","2007","Westmeath","Dublin",56
"471","2008","Westmeath","Dublin",39
"472","2009","Westmeath","Dublin",51
"473","2010","Westmeath","Dublin",49
"474","2011","Westmeath","Dublin",52
"475","2012","Westmeath","Dublin",63
"476","2013","Westmeath","Dublin",80
"477","2000","Cork","Dublin",287
"478","2001","Cork","Dublin",235
"479","2002","Cork","Dublin",230
"480","2003","Cork","Dublin",234
"481","2004","Cork","Dublin",217
"482","2005","Cork","Dublin",247
"483","2006","Cork","Dublin",188
"484","2007","Cork","Dublin",192
"485","2008","Cork","Dublin",209
"486","2009","Cork","Dublin",196
"487","2010","Cork","Dublin",222
"488","2011","Cork","Dublin",209
"489","2012","Cork","Dublin",232
"490","2013","Cork","Dublin",260
"491","2000","Kerry","Dublin",17
"492","2001","Kerry","Dublin",13
"493","2002","Kerry","Dublin",13
"494","2003","Kerry","Dublin",14
"495","2004","Kerry","Dublin",14
"496","2005","Kerry","Dublin",19
"497","2006","Kerry","Dublin",10
"498","2007","Kerry","Dublin",14
"499","2008","Kerry","Dublin",13
"500","2009","Kerry","Dublin",17
"501","2010","Kerry","Dublin",23
"502","2011","Kerry","Dublin",22
"503","2012","Kerry","Dublin",20
"504","2013","Kerry","Dublin",22
"505","2000","Limerick","Dublin",283
"506","2001","Limerick","Dublin",235
"507","2002","Limerick","Dublin",212
"508","2003","Limerick","Dublin",222
"509","2004","Limerick","Dublin",201
"510","2005","Limerick","Dublin",196
"511","2006","Limerick","Dublin",239
"512","2007","Limerick","Dublin",226
"513","2008","Limerick","Dublin",231
"514","2009","Limerick","Dublin",254
"515","2010","Limerick","Dublin",281
"516","2011","Limerick","Dublin",298
"517","2012","Limerick","Dublin",319
"518","2013","Limerick","Dublin",316
"519","2000","Tipperary","Dublin",2
"520","2001","Tipperary","Dublin",5
"521","2002","Tipperary","Dublin",4
"522","2003","Tipperary","Dublin",13
"523","2004","Tipperary","Dublin",26
"524","2005","Tipperary","Dublin",1
"525","2006","Tipperary","Dublin",3
"526","2007","Tipperary","Dublin",4
"527","2008","Tipperary","Dublin",6
"528","2009","Tipperary","Dublin",5
"529","2010","Tipperary","Dublin",6
"530","2011","Tipperary","Dublin",11
"531","2012","Tipperary","Dublin",0
"532","2013","Tipperary","Dublin",0
"533","2000","Waterford","Dublin",230
"534","2001","Waterford","Dublin",180
"535","2002","Waterford","Dublin",143
"536","2003","Waterford","Dublin",139
"537","2004","Waterford","Dublin",135
"538","2005","Waterford","Dublin",109
"539","2006","Waterford","Dublin",103
"540","2007","Waterford","Dublin",97
"541","2008","Waterford","Dublin",121
"542","2009","Waterford","Dublin",109
"543","2010","Waterford","Dublin",105
"544","2011","Waterford","Dublin",118
"545","2012","Waterford","Dublin",131
"546","2013","Waterford","Dublin",139
"547","2000","Galway","Dublin",385
"548","2001","Galway","Dublin",472
"549","2002","Galway","Dublin",450
"550","2003","Galway","Dublin",455
"551","2004","Galway","Dublin",422
"552","2005","Galway","Dublin",307
"553","2006","Galway","Dublin",318
"554","2007","Galway","Dublin",341
"555","2008","Galway","Dublin",322
"556","2009","Galway","Dublin",340
"557","2010","Galway","Dublin",339
"558","2011","Galway","Dublin",366
"559","2012","Galway","Dublin",357
"560","2013","Galway","Dublin",372
"561","2000","Sligo","Dublin",75
"562","2001","Sligo","Dublin",68
"563","2002","Sligo","Dublin",55
"564","2003","Sligo","Dublin",56
"565","2004","Sligo","Dublin",49
"566","2005","Sligo","Dublin",58
"567","2006","Sligo","Dublin",77
"568","2007","Sligo","Dublin",57
"569","2008","Sligo","Dublin",52
"570","2009","Sligo","Dublin",40
"571","2010","Sligo","Dublin",44
"572","2011","Sligo","Dublin",55
"573","2012","Sligo","Dublin",57
"574","2013","Sligo","Dublin",61
"575","2000","Donegal","Dublin",63
"576","2001","Donegal","Dublin",48
"577","2002","Donegal","Dublin",36
"578","2003","Donegal","Dublin",30
"579","2004","Donegal","Dublin",24
"580","2005","Donegal","Dublin",25
"581","2006","Donegal","Dublin",31
"582","2007","Donegal","Dublin",24
"583","2008","Donegal","Dublin",18
"584","2009","Donegal","Dublin",19
"585","2010","Donegal","Dublin",15
"586","2011","Donegal","Dublin",17
"587","2012","Donegal","Dublin",25
"588","2013","Donegal","Dublin",49
"603","2000","Carlow","Kildare",334
"604","2001","Carlow","Kildare",380
"605","2002","Carlow","Kildare",418
"606","2003","Carlow","Kildare",406
"607","2004","Carlow","Kildare",396
"608","2005","Carlow","Kildare",375
"609","2006","Carlow","Kildare",393
"610","2007","Carlow","Kildare",454
"611","2008","Carlow","Kildare",459
"612","2009","Carlow","Kildare",495
"613","2010","Carlow","Kildare",509
"614","2011","Carlow","Kildare",573
"615","2012","Carlow","Kildare",600
"616","2013","Carlow","Kildare",635
"617","2000","Dublin","Kildare",2348
"618","2001","Dublin","Kildare",2416
"619","2002","Dublin","Kildare",2517
"620","2003","Dublin","Kildare",2691
"621","2004","Dublin","Kildare",2846
"622","2005","Dublin","Kildare",2836
"623","2006","Dublin","Kildare",2912
"624","2007","Dublin","Kildare",2920
"625","2008","Dublin","Kildare",2837
"626","2009","Dublin","Kildare",2914
"627","2010","Dublin","Kildare",3099
"628","2011","Dublin","Kildare",3287
"629","2012","Dublin","Kildare",3419
"630","2013","Dublin","Kildare",3467
"631","2000","Kildare","Kildare",611
"632","2001","Kildare","Kildare",705
"633","2002","Kildare","Kildare",815
"634","2003","Kildare","Kildare",922
"635","2004","Kildare","Kildare",1016
"636","2005","Kildare","Kildare",1006
"637","2006","Kildare","Kildare",1070
"638","2007","Kildare","Kildare",1087
"639","2008","Kildare","Kildare",1188
"640","2009","Kildare","Kildare",1346
"641","2010","Kildare","Kildare",1481
"642","2011","Kildare","Kildare",1551
"643","2012","Kildare","Kildare",1519
"644","2013","Kildare","Kildare",1435
"645","2000","Louth","Kildare",31
"646","2001","Louth","Kildare",28
"647","2002","Louth","Kildare",28
"648","2003","Louth","Kildare",29
"649","2004","Louth","Kildare",43
"650","2005","Louth","Kildare",30
"651","2006","Louth","Kildare",24
"652","2007","Louth","Kildare",29
"653","2008","Louth","Kildare",30
"654","2009","Louth","Kildare",26
"655","2010","Louth","Kildare",25
"656","2011","Louth","Kildare",34
"657","2012","Louth","Kildare",46
"658","2013","Louth","Kildare",41
"659","2000","Westmeath","Kildare",82
"660","2001","Westmeath","Kildare",72
"661","2002","Westmeath","Kildare",87
"662","2003","Westmeath","Kildare",71
"663","2004","Westmeath","Kildare",66
"664","2005","Westmeath","Kildare",51
"665","2006","Westmeath","Kildare",54
"666","2007","Westmeath","Kildare",41
"667","2008","Westmeath","Kildare",43
"668","2009","Westmeath","Kildare",39
"669","2010","Westmeath","Kildare",41
"670","2011","Westmeath","Kildare",46
"671","2012","Westmeath","Kildare",52
"672","2013","Westmeath","Kildare",62
"673","2000","Cork","Kildare",63
"674","2001","Cork","Kildare",60
"675","2002","Cork","Kildare",51
"676","2003","Cork","Kildare",53
"677","2004","Cork","Kildare",52
"678","2005","Cork","Kildare",69
"679","2006","Cork","Kildare",67
"680","2007","Cork","Kildare",84
"681","2008","Cork","Kildare",76
"682","2009","Cork","Kildare",77
"683","2010","Cork","Kildare",79
"684","2011","Cork","Kildare",94
"685","2012","Cork","Kildare",102
"686","2013","Cork","Kildare",103
"687","2000","Kerry","Kildare",15
"688","2001","Kerry","Kildare",13
"689","2002","Kerry","Kildare",7
"690","2003","Kerry","Kildare",11
"691","2004","Kerry","Kildare",7
"692","2005","Kerry","Kildare",9
"693","2006","Kerry","Kildare",12
"694","2007","Kerry","Kildare",10
"695","2008","Kerry","Kildare",10
"696","2009","Kerry","Kildare",19
"697","2010","Kerry","Kildare",23
"698","2011","Kerry","Kildare",21
"699","2012","Kerry","Kildare",26
"700","2013","Kerry","Kildare",22
"701","2000","Limerick","Kildare",140
"702","2001","Limerick","Kildare",134
"703","2002","Limerick","Kildare",118
"704","2003","Limerick","Kildare",115
"705","2004","Limerick","Kildare",128
"706","2005","Limerick","Kildare",135
"707","2006","Limerick","Kildare",146
"708","2007","Limerick","Kildare",165
"709","2008","Limerick","Kildare",170
"710","2009","Limerick","Kildare",179
"711","2010","Limerick","Kildare",196
"712","2011","Limerick","Kildare",211
"713","2012","Limerick","Kildare",213
"714","2013","Limerick","Kildare",234
"715","2000","Tipperary","Kildare",0
"716","2001","Tipperary","Kildare",0
"717","2002","Tipperary","Kildare",4
"718","2003","Tipperary","Kildare",4
"719","2004","Tipperary","Kildare",3
"720","2005","Tipperary","Kildare",6
"721","2006","Tipperary","Kildare",7
"722","2007","Tipperary","Kildare",5
"723","2008","Tipperary","Kildare",3
"724","2009","Tipperary","Kildare",5
"725","2010","Tipperary","Kildare",9
"726","2011","Tipperary","Kildare",12
"727","2012","Tipperary","Kildare",0
"728","2013","Tipperary","Kildare",0
"729","2000","Waterford","Kildare",212
"730","2001","Waterford","Kildare",193
"731","2002","Waterford","Kildare",190
"732","2003","Waterford","Kildare",171
"733","2004","Waterford","Kildare",189
"734","2005","Waterford","Kildare",167
"735","2006","Waterford","Kildare",173
"736","2007","Waterford","Kildare",159
"737","2008","Waterford","Kildare",170
"738","2009","Waterford","Kildare",190
"739","2010","Waterford","Kildare",196
"740","2011","Waterford","Kildare",194
"741","2012","Waterford","Kildare",156
"742","2013","Waterford","Kildare",154
"743","2000","Galway","Kildare",157
"744","2001","Galway","Kildare",151
"745","2002","Galway","Kildare",174
"746","2003","Galway","Kildare",164
"747","2004","Galway","Kildare",187
"748","2005","Galway","Kildare",172
"749","2006","Galway","Kildare",159
"750","2007","Galway","Kildare",168
"751","2008","Galway","Kildare",187
"752","2009","Galway","Kildare",200
"753","2010","Galway","Kildare",227
"754","2011","Galway","Kildare",261
"755","2012","Galway","Kildare",267
"756","2013","Galway","Kildare",256
"757","2000","Sligo","Kildare",45
"758","2001","Sligo","Kildare",36
"759","2002","Sligo","Kildare",35
"760","2003","Sligo","Kildare",30
"761","2004","Sligo","Kildare",27
"762","2005","Sligo","Kildare",29
"763","2006","Sligo","Kildare",31
"764","2007","Sligo","Kildare",32
"765","2008","Sligo","Kildare",30
"766","2009","Sligo","Kildare",31
"767","2010","Sligo","Kildare",24
"768","2011","Sligo","Kildare",35
"769","2012","Sligo","Kildare",36
"770","2013","Sligo","Kildare",47
"771","2000","Donegal","Kildare",27
"772","2001","Donegal","Kildare",17
"773","2002","Donegal","Kildare",12
"774","2003","Donegal","Kildare",15
"775","2004","Donegal","Kildare",11
"776","2005","Donegal","Kildare",5
"777","2006","Donegal","Kildare",5
"778","2007","Donegal","Kildare",7
"779","2008","Donegal","Kildare",9
"780","2009","Donegal","Kildare",7
"781","2010","Donegal","Kildare",10
"782","2011","Donegal","Kildare",14
"783","2012","Donegal","Kildare",12
"784","2013","Donegal","Kildare",16
"799","2000","Carlow","Kilkenny",174
"800","2001","Carlow","Kilkenny",215
"801","2002","Carlow","Kilkenny",214
"802","2003","Carlow","Kilkenny",215
"803","2004","Carlow","Kilkenny",184
"804","2005","Carlow","Kilkenny",186
"805","2006","Carlow","Kilkenny",185
"806","2007","Carlow","Kilkenny",181
"807","2008","Carlow","Kilkenny",172
"808","2009","Carlow","Kilkenny",182
"809","2010","Carlow","Kilkenny",201
"810","2011","Carlow","Kilkenny",225
"811","2012","Carlow","Kilkenny",235
"812","2013","Carlow","Kilkenny",261
"813","2000","Dublin","Kilkenny",837
"814","2001","Dublin","Kilkenny",813
"815","2002","Dublin","Kilkenny",861
"816","2003","Dublin","Kilkenny",898
"817","2004","Dublin","Kilkenny",878
"818","2005","Dublin","Kilkenny",813
"819","2006","Dublin","Kilkenny",795
"820","2007","Dublin","Kilkenny",796
"821","2008","Dublin","Kilkenny",814
"822","2009","Dublin","Kilkenny",839
"823","2010","Dublin","Kilkenny",951
"824","2011","Dublin","Kilkenny",981
"825","2012","Dublin","Kilkenny",1024
"826","2013","Dublin","Kilkenny",1033
"827","2000","Kildare","Kilkenny",90
"828","2001","Kildare","Kilkenny",99
"829","2002","Kildare","Kilkenny",108
"830","2003","Kildare","Kilkenny",104
"831","2004","Kildare","Kilkenny",114
"832","2005","Kildare","Kilkenny",117
"833","2006","Kildare","Kilkenny",120
"834","2007","Kildare","Kilkenny",104
"835","2008","Kildare","Kilkenny",98
"836","2009","Kildare","Kilkenny",109
"837","2010","Kildare","Kilkenny",121
"838","2011","Kildare","Kilkenny",128
"839","2012","Kildare","Kilkenny",144
"840","2013","Kildare","Kilkenny",143
"841","2000","Louth","Kilkenny",4
"842","2001","Louth","Kilkenny",5
"843","2002","Louth","Kilkenny",4
"844","2003","Louth","Kilkenny",6
"845","2004","Louth","Kilkenny",2
"846","2005","Louth","Kilkenny",6
"847","2006","Louth","Kilkenny",7
"848","2007","Louth","Kilkenny",9
"849","2008","Louth","Kilkenny",15
"850","2009","Louth","Kilkenny",18
"851","2010","Louth","Kilkenny",17
"852","2011","Louth","Kilkenny",21
"853","2012","Louth","Kilkenny",11
"854","2013","Louth","Kilkenny",11
"855","2000","Westmeath","Kilkenny",14
"856","2001","Westmeath","Kilkenny",13
"857","2002","Westmeath","Kilkenny",11
"858","2003","Westmeath","Kilkenny",15
"859","2004","Westmeath","Kilkenny",5
"860","2005","Westmeath","Kilkenny",6
"861","2006","Westmeath","Kilkenny",7
"862","2007","Westmeath","Kilkenny",12
"863","2008","Westmeath","Kilkenny",10
"864","2009","Westmeath","Kilkenny",12
"865","2010","Westmeath","Kilkenny",7
"866","2011","Westmeath","Kilkenny",4
"867","2012","Westmeath","Kilkenny",12
"868","2013","Westmeath","Kilkenny",19
"869","2000","Cork","Kilkenny",226
"870","2001","Cork","Kilkenny",233
"871","2002","Cork","Kilkenny",265
"872","2003","Cork","Kilkenny",277
"873","2004","Cork","Kilkenny",288
"874","2005","Cork","Kilkenny",329
"875","2006","Cork","Kilkenny",341
"876","2007","Cork","Kilkenny",377
"877","2008","Cork","Kilkenny",412
"878","2009","Cork","Kilkenny",423
"879","2010","Cork","Kilkenny",469
"880","2011","Cork","Kilkenny",459
"881","2012","Cork","Kilkenny",458
"882","2013","Cork","Kilkenny",458
"883","2000","Kerry","Kilkenny",7
"884","2001","Kerry","Kilkenny",7
"885","2002","Kerry","Kilkenny",6
"886","2003","Kerry","Kilkenny",6
"887","2004","Kerry","Kilkenny",2
"888","2005","Kerry","Kilkenny",4
"889","2006","Kerry","Kilkenny",5
"890","2007","Kerry","Kilkenny",5
"891","2008","Kerry","Kilkenny",7
"892","2009","Kerry","Kilkenny",10
"893","2010","Kerry","Kilkenny",9
"894","2011","Kerry","Kilkenny",9
"895","2012","Kerry","Kilkenny",7
"896","2013","Kerry","Kilkenny",8
"897","2000","Limerick","Kilkenny",262
"898","2001","Limerick","Kilkenny",285
"899","2002","Limerick","Kilkenny",272
"900","2003","Limerick","Kilkenny",275
"901","2004","Limerick","Kilkenny",301
"902","2005","Limerick","Kilkenny",293
"903","2006","Limerick","Kilkenny",323
"904","2007","Limerick","Kilkenny",332
"905","2008","Limerick","Kilkenny",312
"906","2009","Limerick","Kilkenny",330
"907","2010","Limerick","Kilkenny",354
"908","2011","Limerick","Kilkenny",352
"909","2012","Limerick","Kilkenny",368
"910","2013","Limerick","Kilkenny",363
"911","2000","Tipperary","Kilkenny",7
"912","2001","Tipperary","Kilkenny",7
"913","2002","Tipperary","Kilkenny",9
"914","2003","Tipperary","Kilkenny",18
"915","2004","Tipperary","Kilkenny",19
"916","2005","Tipperary","Kilkenny",13
"917","2006","Tipperary","Kilkenny",22
"918","2007","Tipperary","Kilkenny",17
"919","2008","Tipperary","Kilkenny",17
"920","2009","Tipperary","Kilkenny",14
"921","2010","Tipperary","Kilkenny",17
"922","2011","Tipperary","Kilkenny",35
"923","2012","Tipperary","Kilkenny",0
"924","2013","Tipperary","Kilkenny",0
"925","2000","Waterford","Kilkenny",504
"926","2001","Waterford","Kilkenny",535
"927","2002","Waterford","Kilkenny",605
"928","2003","Waterford","Kilkenny",671
"929","2004","Waterford","Kilkenny",703
"930","2005","Waterford","Kilkenny",680
"931","2006","Waterford","Kilkenny",735
"932","2007","Waterford","Kilkenny",730
"933","2008","Waterford","Kilkenny",788
"934","2009","Waterford","Kilkenny",788
"935","2010","Waterford","Kilkenny",782
"936","2011","Waterford","Kilkenny",837
"937","2012","Waterford","Kilkenny",830
"938","2013","Waterford","Kilkenny",817
"939","2000","Galway","Kilkenny",87
"940","2001","Galway","Kilkenny",97
"941","2002","Galway","Kilkenny",95
"942","2003","Galway","Kilkenny",89
"943","2004","Galway","Kilkenny",90
"944","2005","Galway","Kilkenny",87
"945","2006","Galway","Kilkenny",87
"946","2007","Galway","Kilkenny",81
"947","2008","Galway","Kilkenny",77
"948","2009","Galway","Kilkenny",67
"949","2010","Galway","Kilkenny",79
"950","2011","Galway","Kilkenny",95
"951","2012","Galway","Kilkenny",94
"952","2013","Galway","Kilkenny",88
"953","2000","Sligo","Kilkenny",10
"954","2001","Sligo","Kilkenny",9
"955","2002","Sligo","Kilkenny",11
"956","2003","Sligo","Kilkenny",9
"957","2004","Sligo","Kilkenny",9
"958","2005","Sligo","Kilkenny",6
"959","2006","Sligo","Kilkenny",6
"960","2007","Sligo","Kilkenny",12
"961","2008","Sligo","Kilkenny",22
"962","2009","Sligo","Kilkenny",18
"963","2010","Sligo","Kilkenny",18
"964","2011","Sligo","Kilkenny",18
"965","2012","Sligo","Kilkenny",17
"966","2013","Sligo","Kilkenny",17
"967","2000","Donegal","Kilkenny",3
"968","2001","Donegal","Kilkenny",4
"969","2002","Donegal","Kilkenny",5
"970","2003","Donegal","Kilkenny",3
"971","2004","Donegal","Kilkenny",2
"972","2005","Donegal","Kilkenny",2
"973","2006","Donegal","Kilkenny",1
"974","2007","Donegal","Kilkenny",2
"975","2008","Donegal","Kilkenny",2
"976","2009","Donegal","Kilkenny",2
"977","2010","Donegal","Kilkenny",3
"978","2011","Donegal","Kilkenny",4
"979","2012","Donegal","Kilkenny",5
"980","2013","Donegal","Kilkenny",3
"995","2000","Carlow","Laois",188
"996","2001","Carlow","Laois",228
"997","2002","Carlow","Laois",224
"998","2003","Carlow","Laois",212
"999","2004","Carlow","Laois",211
"1000","2005","Carlow","Laois",205
"1001","2006","Carlow","Laois",235
"1002","2007","Carlow","Laois",265
"1003","2008","Carlow","Laois",257
"1004","2009","Carlow","Laois",277
"1005","2010","Carlow","Laois",269
"1006","2011","Carlow","Laois",292
"1007","2012","Carlow","Laois",332
"1008","2013","Carlow","Laois",347
"1009","2000","Dublin","Laois",602
"1010","2001","Dublin","Laois",617
"1011","2002","Dublin","Laois",655
"1012","2003","Dublin","Laois",692
"1013","2004","Dublin","Laois",714
"1014","2005","Dublin","Laois",689
"1015","2006","Dublin","Laois",701
"1016","2007","Dublin","Laois",716
"1017","2008","Dublin","Laois",721
"1018","2009","Dublin","Laois",741
"1019","2010","Dublin","Laois",703
"1020","2011","Dublin","Laois",705
"1021","2012","Dublin","Laois",699
"1022","2013","Dublin","Laois",714
